Name,Link,Price,Old Price,Year,Mileage,Gearbox,Fuel,Engine,Power,Color,Traction,Body Type,Seats,Consumption
Volkswagen Touran,https://interauto.md/vehicle/volkswagen-touran-a41387/,194980.5,,2013,229.304 Km,Automată,Benzină,1400 cm3,160 CP,Maro,Față,Universal,7,"5.5-6.2 extraurban, 7.4-8.2 urban"
Dacia Duster,https://interauto.md/vehicle/dacia-duster-a64322/,272980.5,,2018,136.398 Km,Automată,Diesel,1500 cm3,115 CP,Maro,Față,Crossover,5,"4.5 - 5.3 extraurban, 5.8 - 6.5 urban"
Volkswagen Passat,https://interauto.md/vehicle/volkswagen-passat-a70791/,384130.5,,2019,215.871 Km,Automată,Diesel,2000 cm3,190 CP,Negru,Față,Universal,5,"6.2-7.1 extraurban, 7.8-8.4 urban"
Toyota Avensis,https://interauto.md/vehicle/toyota-avensis-a71334/,271030.5,,2016,173.227 Km,Automată,Benzină,1800 cm3,147 CP,Albastru,Față,Universal,5,"5.9-6.3 extraurban, 8.3-9.5 urban"
Volkswagen Jetta,https://interauto.md/vehicle/volkswagen-jetta-a74507/,214480.5,,2015,132.280 Km,Automată,Benzină,1800 cm3,170 CP,Negru,Față,Sedan,5,"5.5-6.2 extraurban, 7.4-8.2 urban"
Mercedes E 220,https://interauto.md/vehicle/mercedes-e-220-a74484/,350980.5,,2014,242.297 Km,Automată,Diesel,2143 cm3,170 CP,Gri,Spate,Sedan,5,"4.6 - 5.7 extraurban, 6.9 - 8.1 urban"
Skoda Octavia,https://interauto.md/vehicle/skoda-octavia-a74506/,263230.5,,2018,113.546 Km,Automată,Benzină,1500 cm3,150 CP,Albastru,Față,Universal,5,"5.5 - 6.2 extraurban, 7.4 - 8.2 urban"
Skoda Octavia,https://interauto.md/vehicle/skoda-octavia-a74509/,185230.5,,2014,152.375 Km,No gearbox,No fuel,1400 cm3,140 CP,No color,No traction,Universal,5,"5.5 - 6.2 extraurban, 7.4 - 8.2 urban"
Renault Talisman,https://interauto.md/vehicle/renault-talisman-a67731/,257380.5,13999,2016,199.734 Km,Automată,Diesel,1500 cm3,110 CP,Alb,Față,Universal,5,"4.6 - 5.2 extraurban, 5.6 - 6.4 urban"
BMW 520,https://interauto.md/vehicle/bmw-520-a74505/,329550.0,,2010,290.488 Km,Automată,Diesel,2000 cm3,184 CP,Alb,Spate,Sedan,5,"6.2-7.2 extraurban, 7.8-8.4 urban"
Jaguar XF,https://interauto.md/vehicle/jaguar-xf-a74504/,341230.5,,2017,107.725 Km,Automată,Diesel,2000 cm3,180 CP,Negru,Spate,Sedan,5,"5.5-6.7 extraurban, 7.5-8.9 urban"
Volvo V 60,https://interauto.md/vehicle/volvo-v-60-a73986/,282730.5,,2013,169.728 Km,Automată,Hybrid,2400 cm3,280 CP,Negru,4x4,Universal,5,"5.1-5.9 extraurban, 5.6-6.7 urban"
Mercedes ML 320,https://interauto.md/vehicle/mercedes-ml-320-a74502/,282730.5,,2006,348.277 Km,Automată,Diesel,3000 cm3,224 CP,Gri,4x4,SUV,5,"6.5-7.5 extraurban, 9.3-10.4 urban"
Toyota Auris,https://interauto.md/vehicle/toyota-auris-a62703/,251530.5,14299,2017,153.366 Km,Manuală,Diesel,1400 cm3,90 CP,Negru,Față,Hatchback,5,"4.2-4.8 extraurban, 5.2-5.6 urban"
