Name,Link,Price,Old Price,Year,Mileage,Gearbox,Fuel,Engine,Power,Color,Traction,Body Type,Seats,Consumption
Volkswagen Jetta,https://interauto.md/vehicle/volkswagen-jetta-a52111/,311980.5,19499,2019,108.581 Km,Automată,Benzină,1400 cm3,150 CP,Negru,Față,Sedan,5,"5.5-6.2 extraurban, 7.4-8.2 urban"
BMW 330E,https://interauto.md/vehicle/bmw-330e-a70701/,311980.5,,2017,182.091 Km,Automată,Hybrid,2000 cm3,252 CP,Gri,Spate,Sedan,5,"5.7-6.4 extraurban, 7.2-7.9 urban"
BMW 520,https://interauto.md/vehicle/bmw-520-a45696/,222280.5,11499,2008,280.930 Km,Automată,Diesel,2000 cm3,177 CP,Gri,Spate,Sedan,5,"6.2-7.2 extraurban, 7.8-8.4 urban"
Chevrolet Volt,https://interauto.md/vehicle/chevrolet-volt-a74513/,265180.5,,2016,146.875 Km,Automată,Benzină,1500 cm3,150 CP,Negru,Față,Hatchback,4,"4.0-4.9 extraurban, 5.3-6.2 urban"
Ford Fusion,https://interauto.md/vehicle/ford-fusion-a23924/,214480.5,,2014,221.000 Km,Automată,Hybrid,2000 cm3,188 CP,Negru,Față,Sedan,5,"5.6-6.2 extraurban, 6.5-7.2 urban"
Ford Focus,https://interauto.md/vehicle/ford-focus-a64271/,159880.5,,2012,100.964 Km,Manuală,Benzină,1000 cm3,125 CP,Alb,Față,Hatchback,5,"4.7-5.3 extraurban, 5.9-6.4 urban"
Mercedes E 200,https://interauto.md/vehicle/mercedes-e-200-a43914/,214480.5,12999,2011,362.048 Km,Automată,Gaz / Benzină,1800 cm3,163 CP,Albastru,Spate,Sedan,5,"6.8-7.9 extraurban, 9.4-10.8 urban"
Mercedes E 220,https://interauto.md/vehicle/mercedes-e-220-a74484/,350980.5,,2014,242.297 Km,Automată,Diesel,2143 cm3,170 CP,Gri,Spate,Sedan,5,"4.6 - 5.7 extraurban, 6.9 - 8.1 urban"
Kia Sorento,https://interauto.md/vehicle/kia-sorento-a74511/,350980.5,,2016,137.625 Km,Automată,Benzină,2000 cm3,264 CP,Gri,4x4,SUV,5,"8.1-9.3 extraurban, 10.4-11.2 urban"
Volvo V 60,https://interauto.md/vehicle/volvo-v-60-a73986/,282730.5,,2013,169.728 Km,Automată,Hybrid,2400 cm3,280 CP,Negru,4x4,Universal,5,"5.1-5.9 extraurban, 5.6-6.7 urban"
Mercedes ML 320,https://interauto.md/vehicle/mercedes-ml-320-a74502/,282730.5,,2006,348.277 Km,Automată,Diesel,3000 cm3,224 CP,Bej,4x4,SUV,5,"6.5-7.5 extraurban, 9.3-10.4 urban"
Ford Focus,https://interauto.md/vehicle/ford-focus-a74510/,185230.5,,2015,230.015 Km,Automată,Diesel,1500 cm3,120 CP,Argintiu,Față,Universal,5,"4.5-5.2 extraurban, 5.6-6.5 urban"
Skoda Octavia,https://interauto.md/vehicle/skoda-octavia-a74509/,185230.5,,2014,152.375 Km,Automată,Benzină,1400 cm3,140 CP,Alb,Față,Universal,5,"5.5 - 6.2 extraurban, 7.4 - 8.2 urban"
Volkswagen Touran,https://interauto.md/vehicle/volkswagen-touran-a41387/,194980.5,,2013,229.304 Km,Automată,Benzină,1400 cm3,160 CP,Maro,Față,Universal,7,"5.5-6.2 extraurban, 7.4-8.2 urban"
Dacia Duster,https://interauto.md/vehicle/dacia-duster-a64322/,272980.5,,2018,136.398 Km,Automată,Diesel,1500 cm3,115 CP,Maro,Față,Crossover,5,"4.5 - 5.3 extraurban, 5.8 - 6.5 urban"
Volkswagen Passat,https://interauto.md/vehicle/volkswagen-passat-a70791/,384130.5,,2019,215.871 Km,Automată,Diesel,2000 cm3,190 CP,Negru,Față,Universal,5,"6.2-7.1 extraurban, 7.8-8.4 urban"
Toyota Avensis,https://interauto.md/vehicle/toyota-avensis-a71334/,271030.5,,2016,173.227 Km,Automată,Benzină,1800 cm3,147 CP,Albastru,Față,Universal,5,"5.9-6.3 extraurban, 8.3-9.5 urban"
Volkswagen Jetta,https://interauto.md/vehicle/volkswagen-jetta-a74507/,214480.5,,2015,132.280 Km,Automată,Benzină,1800 cm3,170 CP,Negru,Față,Sedan,5,"5.5-6.2 extraurban, 7.4-8.2 urban"
Skoda Octavia,https://interauto.md/vehicle/skoda-octavia-a74506/,263230.5,,2018,113.546 Km,Automată,Benzină,1500 cm3,150 CP,Albastru,Față,Universal,5,"5.5 - 6.2 extraurban, 7.4 - 8.2 urban"
Renault Talisman,https://interauto.md/vehicle/renault-talisman-a67731/,257380.5,13999,2016,199.734 Km,Automată,Diesel,1500 cm3,110 CP,Alb,Față,Universal,5,"4.6 - 5.2 extraurban, 5.6 - 6.4 urban"
BMW 520,https://interauto.md/vehicle/bmw-520-a74505/,329550.0,,2010,290.488 Km,Automată,Diesel,2000 cm3,184 CP,Alb,Spate,Sedan,5,"6.2-7.2 extraurban, 7.8-8.4 urban"
Jaguar XF,https://interauto.md/vehicle/jaguar-xf-a74504/,341230.5,,2017,107.725 Km,Automată,Diesel,2000 cm3,180 CP,Negru,Spate,Sedan,5,"5.5-6.7 extraurban, 7.5-8.9 urban"
